源节点,边类型,目标节点,Cluster,合并后的边类型
发作性睡病,影响,蓝斑,1,影响
发作性睡病,影响,去甲肾上腺素（noradrenaline）,1,影响
发作性睡病,影响,中缝背核,1,影响
发作性睡病,影响,5-羟色胺（5-hydroxytryptamine）,1,影响
发作性睡病,影响,快速眼球运动（rapid eye movement，REM）睡眠,1,影响
发作性睡病,影响,蓝斑下核（sublaterodorsal nucleus）,1,影响
发作性睡病,症状,骨骼肌失张力,5,症状
发作性睡病,症状,猝倒发作,5,症状
发作性睡病,症状,睡眠瘫痪（sleep paralysis）,5,症状
发作性睡病,症状,肥胖,5,症状
发作性睡病,症状,性早熟,5,症状
发作性睡病,症状,精神障碍,5,症状
发作性睡病,症状,认知功能损害,5,症状
发作性睡病,症状,偏头痛,5,症状
发作性睡病,评估,Epworth 思睡量表（Epworth Sleepiness Scale，ESS）,3,评估
发作性睡病,评估,斯坦福思睡量表（Stanford Sleepiness Scale，SSS）,3,评估
发作性睡病,评估,Ullanlinna 发作性睡病量表（The Ullanlinna Narcolepsy Scale）,3,评估
发作性睡病,评估,瑞士发作性睡病量表（The Swiss Narcolepsy Scale，SNS）,3,评估
发作性睡病,评估,情绪触发猝倒问卷（Cataplexy Emotional Questionnaire）,3,评估
发作性睡病,评估,国际不宁腿综合征（International Restless Legs Syndrome）严重程度自评量表,3,评估
发作性睡病,评估,快速眼球运动睡眠行为障碍筛查问卷-香港版（Rapid-eye-movement Sleep Behavior Disorder Questionnaire Hongkong）,3,评估
发作性睡病,评估,简易精神状态检查量表（Mini-Mental State Examination，MMSE）,3,评估
发作性睡病,评估,蒙特利尔认知评估量表（Montreal Cognitive Assessment，MoCA）,3,评估
发作性睡病,评估,阳性阴性症状量表（Positive and Negative Syndrome Scale）,3,评估
发作性睡病,评估,注意力缺陷或多动和冲动（Attention Deficit Hyperactivity Disorder）量表,3,评估
发作性睡病,评估,自闭症谱系筛查问卷（Autism Spectrum Disorder Screening Questionnaire）,3,评估
发作性睡病,检查,夜间多导睡眠监测（nocturnal polysomnography，nPSG）,9,检查
发作性睡病,检查,日间多次睡眠潜伏期试验（multiple sleep latency test，MSLT）,9,检查
发作性睡病,检查,清醒维持试验（maintenance of wakefulness test，MWT）,9,检查
发作性睡病,检查,脑脊液 Hcrt-1 检测,9,检查
发作性睡病,检查,基因检测,9,检查
发作性睡病,检查,脑影像学检查,9,检查
发作性睡病,检查,免疫相关检测,9,检查
发作性睡病,类型,发作性睡病 1 型,19,类型
发作性睡病,类型,发作性睡病 2 型,19,类型
发作性睡病,鉴别,特发性睡眠增多,18,鉴别
发作性睡病,鉴别,克莱恩-莱文综合征（Kleine-Levin syndrome，K-LS）,18,鉴别
发作性睡病,鉴别,睡眠不足综合征,18,鉴别
发作性睡病,鉴别,睡眠-觉醒节律紊乱,18,鉴别
发作性睡病,鉴别,癫痫,18,鉴别
发作性睡病,鉴别,假性猝倒,18,鉴别
发作性睡病,治疗,替洛利生（pitolisant）,0,治疗
发作性睡病,治疗,莫达非尼（modafinil）,0,治疗
发作性睡病,治疗,γ-羟丁酸钠（gamma-hydroxybutyrate，sodium oxybate）,0,治疗
发作性睡病,治疗,阿莫达非尼（armodafinil）,0,治疗
发作性睡病,治疗,哌甲酯缓释片（methylphenidate）,0,治疗
发作性睡病,治疗,索林非妥（solriamfetol）,0,治疗
发作性睡病,治疗,马吲哚（mazindol）,0,治疗
发作性睡病,治疗,三环类抗抑郁剂（tricyclic antidepressants，TCAs）,0,治疗
发作性睡病,治疗,选择性 5-羟色胺再摄取抑制剂类（selective serotonin reuptake inhibitors，SSRIs）,0,治疗
发作性睡病,治疗,选择性 5-羟色胺与去甲肾上腺素再摄取抑制剂类（selective serotonin and norepinephrine reuptake inhibitors，SNRIs）,0,治疗
发作性睡病,治疗,选择性去甲肾上腺素再摄取抑制剂（selective noradrenaline reuptake inhibitors，NaRIs）,0,治疗
发作性睡病,治疗,文拉法辛,0,治疗
发作性睡病,治疗,去甲基文拉法辛,0,治疗
发作性睡病,治疗,度洛西汀,0,治疗
发作性睡病,治疗,氯米帕明,0,治疗
发作性睡病,治疗,去甲阿米替林,0,治疗
发作性睡病,治疗,丙咪嗪,0,治疗
发作性睡病,治疗,帕罗西汀,0,治疗
发作性睡病,治疗,氟西汀,0,治疗
发作性睡病,治疗,舍曲林,0,治疗
发作性睡病,治疗,西酞普兰,0,治疗
发作性睡病,治疗,瑞波西汀,0,治疗
发作性睡病,治疗,阿托莫西汀,0,治疗
发作性睡病,治疗,巴氯芬,0,治疗
发作性睡病,治疗,唑吡坦,0,治疗
发作性睡病,治疗,佐匹克隆,0,治疗
发作性睡病,治疗,右佐匹克隆,0,治疗
发作性睡病,治疗,褪黑素,0,治疗
发作性睡病,治疗,普拉克索,0,治疗
发作性睡病,治疗,罗匹尼罗,0,治疗
发作性睡病,治疗,罗替高汀,0,治疗
发作性睡病,治疗,加巴喷丁,0,治疗
发作性睡病,诊断依据,临床表现,17,诊断依据
发作性睡病,诊断依据,多导睡眠图,17,诊断依据
发作性睡病,诊断依据,多次小睡试验,17,诊断依据
发作性睡病,诊断依据,脑脊液下丘脑分泌素-1,17,诊断依据
发作性睡病,分类,ICSD-3,16,分类
ICSD-3,分类,发作性睡病1型,16,分类
ICSD-3,分类,发作性睡病2型,16,分类
发作性睡病1型,诊断标准,白天难以抑制的思睡,2,诊断标准
发作性睡病1型,诊断标准,猝倒发作,2,诊断标准
发作性睡病1型,诊断标准,多次小睡潜伏期试验,2,诊断标准
发作性睡病1型,诊断标准,平均睡眠潜伏期,2,诊断标准
发作性睡病1型,诊断标准,REM睡眠始发,2,诊断标准
发作性睡病1型,诊断标准,夜间多导睡眠图,2,诊断标准
发作性睡病1型,诊断标准,免疫反应法,2,诊断标准
发作性睡病1型,诊断标准,脑脊液中Hcrt-1浓度,2,诊断标准
发作性睡病1型,诊断标准,白天MSLT中的SOREMP,2,诊断标准
发作性睡病2型,诊断标准,白天难以抑制的思睡,2,诊断标准
发作性睡病2型,诊断标准,睡眠发作,2,诊断标准
发作性睡病2型,诊断标准,多次小睡潜伏期试验,2,诊断标准
发作性睡病2型,诊断标准,平均睡眠潜伏期,2,诊断标准
发作性睡病2型,诊断标准,REM睡眠始发,2,诊断标准
发作性睡病2型,诊断标准,夜间多导睡眠图,2,诊断标准
发作性睡病2型,诊断标准,睡眠始发REM睡眠现象,2,诊断标准
发作性睡病2型,诊断标准,脑脊液中Hcrt-1浓度,2,诊断标准
发作性睡病2型,诊断标准,思睡症状,2,诊断标准
发作性睡病2型,诊断标准,OSA,2,诊断标准
发作性睡病2型,诊断标准,睡眠时相延迟障碍,2,诊断标准
中华神经科杂志,发表,中国成人失眠诊断与治疗指南,14,编写
中华医学会神经病学分会睡眠障碍学组,编写,中国成人失眠诊断与治疗指南,14,编写
王玉平,作者,中国成人失眠诊断与治疗指南,12,使用
失眠,定义,失眠的定义,12,使用
失眠,评估,失眠的临床评估,3,评估
失眠,治疗,失眠的药物治疗,0,治疗
失眠,治疗,心理治疗,0,治疗
失眠,治疗,中国民族医药治疗,0,治疗
失眠,治疗,失眠的心理行为治疗,0,治疗
失眠,治疗,失眠的物理治疗,0,治疗
失眠,治疗,失眠的中医治疗,0,治疗
失眠,分类,失眠的分类诊断,16,分类
失眠,鉴别,失眠的鉴别诊断,18,鉴别
失眠,检查,匹兹堡睡眠质量指数,9,检查
失眠,检查,阿森斯失眠量表,9,检查
失眠,检查,多导睡眠监测,9,检查
失眠,检查,多次睡眠潜伏期试验,9,检查
失眠,检查,体动记录仪,9,检查
失眠,检查,神经影像,9,检查
失眠,检查,实验室检查,9,检查
失眠,检查,可穿戴设备,9,检查
失眠,药物,苯二氮草受体激动剂,13,药物
失眠,药物,苯二氮草类药物,13,药物
失眠,药物,非苯二氮草类药物,13,药物
失眠,药物,新型苯二氮草受体激动剂,13,药物
失眠,药物,双食欲素受体拮抗剂,13,药物
失眠,药物,褪黑素,13,药物
失眠,药物,褪黑素受体激动剂,13,药物
失眠,药物,抗组胺H1受体药物,13,药物
失眠,药物,具有镇静作用的抗抑郁药物,13,药物
失眠,药物,抗精神病药,13,药物
失眠,药物,麻醉类药物,13,药物
失眠,治疗,失眠简短疗法,0,治疗
失眠,治疗,重复经颅磁刺激,0,治疗
失眠,治疗,经颅电刺激,0,治疗
失眠,治疗,经皮耳迷走神经刺激,0,治疗
失眠,治疗,生物反馈,0,治疗
失眠,治疗,光照治疗,0,治疗
失眠,治疗,声音治疗,0,治疗
失眠,治疗,中成药,0,治疗
失眠,治疗,植物疗法,0,治疗
失眠,治疗,中医非药物治疗,0,治疗
失眠,治疗,针刺,0,治疗
失眠,治疗,推拿,0,治疗
失眠,治疗,艾灸,0,治疗
失眠,治疗,耳穴压豆,0,治疗
失眠,治疗,指压法,0,治疗
失眠,治疗,穴位按压,0,治疗
失眠,治疗,穴位注射,0,治疗
失眠,治疗,穴位贴敷,0,治疗
失眠,治疗,耳穴压贴,0,治疗
失眠,治疗,药枕疗法,0,治疗
失眠,治疗,中药足浴,0,治疗
失眠,治疗,中医传统功法,0,治疗
失眠,治疗,八段锦,0,治疗
失眠,治疗,太极拳,0,治疗
失眠,治疗,五禽戏,0,治疗
失眠,治疗,六字诀,0,治疗
失眠,治疗,太极,0,治疗
失眠,治疗,气功,0,治疗
失眠,治疗,老年人失眠,0,治疗
失眠,治疗,妊娠期失眠,0,治疗
失眠,治疗,哺乳期失眠,0,治疗
失眠,治疗,围绝经期失眠,0,治疗
失眠,治疗,绝经期失眠,0,治疗
失眠,治疗,儿童失眠,0,治疗
失眠,治疗,青少年失眠,0,治疗
失眠,治疗,倒班人群失眠,0,治疗
失眠,治疗,伴有其他睡眠障碍的失眠,0,治疗
失眠,治疗,伴有躯体疾病的失眠,0,治疗
失眠,治疗,伴有精神障碍的失眠,0,治疗
