源节点,边类型,目标节点
发作性睡病,相关,CD4+T 细胞
发作性睡病,相关,CD8+T 细胞
发作性睡病,相关,化脓性链球菌
发作性睡病,相关,甲型流感病毒
发作性睡病,相关,甲型流感疫苗 Pandemrix
发作性睡病,影响,腹外侧导水管周围灰质（ventrolateral periaqueductal gray）
发作性睡病,影响,被盖背外侧核/脑桥腹外侧区被盖核（laterodorsal and pedunculopontine tegmentum nuclei）
发作性睡病,影响,蓝斑
发作性睡病,影响,去甲肾上腺素（noradrenaline）
发作性睡病,影响,中缝背核
发作性睡病,影响,5-羟色胺（5-hydroxytryptamine）
发作性睡病,影响,快速眼球运动（rapid eye movement，REM）睡眠
发作性睡病,影响,蓝斑下核（sublaterodorsal nucleus）
发作性睡病,症状,骨骼肌失张力
发作性睡病,症状,猝倒发作
发作性睡病,症状,睡眠瘫痪（sleep paralysis）
发作性睡病,症状,肥胖
发作性睡病,症状,性早熟
发作性睡病,症状,精神障碍
发作性睡病,症状,认知功能损害
发作性睡病,症状,偏头痛
发作性睡病,评估,Epworth 思睡量表（Epworth Sleepiness Scale，ESS）
发作性睡病,评估,斯坦福思睡量表（Stanford Sleepiness Scale，SSS）
发作性睡病,评估,Ullanlinna 发作性睡病量表（The Ullanlinna Narcolepsy Scale）
发作性睡病,评估,瑞士发作性睡病量表（The Swiss Narcolepsy Scale，SNS）
发作性睡病,评估,情绪触发猝倒问卷（Cataplexy Emotional Questionnaire）
发作性睡病,评估,国际不宁腿综合征（International Restless Legs Syndrome）严重程度自评量表
发作性睡病,评估,快速眼球运动睡眠行为障碍筛查问卷-香港版（Rapid-eye-movement Sleep Behavior Disorder Questionnaire Hongkong）
发作性睡病,评估,简易精神状态检查量表（Mini-Mental State Examination，MMSE）
发作性睡病,评估,蒙特利尔认知评估量表（Montreal Cognitive Assessment，MoCA）
发作性睡病,评估,阳性阴性症状量表（Positive and Negative Syndrome Scale）
发作性睡病,评估,注意力缺陷或多动和冲动（Attention Deficit Hyperactivity Disorder）量表
发作性睡病,评估,自闭症谱系筛查问卷（Autism Spectrum Disorder Screening Questionnaire）
发作性睡病,检查,夜间多导睡眠监测（nocturnal polysomnography，nPSG）
发作性睡病,检查,日间多次睡眠潜伏期试验（multiple sleep latency test，MSLT）
发作性睡病,检查,清醒维持试验（maintenance of wakefulness test，MWT）
发作性睡病,检查,脑脊液 Hcrt-1 检测
发作性睡病,检查,基因检测
发作性睡病,检查,脑影像学检查
发作性睡病,检查,免疫相关检测
发作性睡病,类型,发作性睡病 1 型
发作性睡病,类型,发作性睡病 2 型
发作性睡病,鉴别,特发性睡眠增多
发作性睡病,鉴别,克莱恩-莱文综合征（Kleine-Levin syndrome，K-LS）
发作性睡病,鉴别,睡眠不足综合征
发作性睡病,鉴别,睡眠-觉醒节律紊乱
发作性睡病,鉴别,癫痫
发作性睡病,鉴别,假性猝倒
发作性睡病,治疗,替洛利生（pitolisant）
发作性睡病,治疗,莫达非尼（modafinil）
发作性睡病,治疗,γ-羟丁酸钠（gamma-hydroxybutyrate，sodium oxybate）
发作性睡病,治疗,阿莫达非尼（armodafinil）
发作性睡病,治疗,哌甲酯缓释片（methylphenidate）
发作性睡病,治疗,索林非妥（solriamfetol）
发作性睡病,治疗,马吲哚（mazindol）
发作性睡病,治疗,三环类抗抑郁剂（tricyclic antidepressants，TCAs）
发作性睡病,治疗,选择性 5-羟色胺再摄取抑制剂类（selective serotonin reuptake inhibitors，SSRIs）
发作性睡病,治疗,选择性 5-羟色胺与去甲肾上腺素再摄取抑制剂类（selective serotonin and norepinephrine reuptake inhibitors，SNRIs）
发作性睡病,治疗,选择性去甲肾上腺素再摄取抑制剂（selective noradrenaline reuptake inhibitors，NaRIs）
发作性睡病,治疗,文拉法辛
发作性睡病,治疗,去甲基文拉法辛
发作性睡病,治疗,度洛西汀
发作性睡病,治疗,氯米帕明
发作性睡病,治疗,去甲阿米替林
发作性睡病,治疗,丙咪嗪
发作性睡病,治疗,帕罗西汀
发作性睡病,治疗,氟西汀
发作性睡病,治疗,舍曲林
发作性睡病,治疗,西酞普兰
发作性睡病,治疗,瑞波西汀
发作性睡病,治疗,阿托莫西汀
发作性睡病,治疗,巴氯芬
发作性睡病,治疗,唑吡坦
发作性睡病,治疗,佐匹克隆
发作性睡病,治疗,右佐匹克隆
发作性睡病,治疗,褪黑素
发作性睡病,治疗,普拉克索
发作性睡病,治疗,罗匹尼罗
发作性睡病,治疗,罗替高汀
发作性睡病,治疗,加巴喷丁
发作性睡病,诊断依据,临床表现
发作性睡病,诊断依据,多导睡眠图
发作性睡病,诊断依据,多次小睡试验
发作性睡病,诊断依据,脑脊液下丘脑分泌素-1
发作性睡病,分类,ICSD-3
ICSD-3,分类,发作性睡病1型
ICSD-3,分类,发作性睡病2型
发作性睡病1型,诊断标准,白天难以抑制的思睡
发作性睡病1型,诊断标准,猝倒发作
发作性睡病1型,诊断标准,多次小睡潜伏期试验
发作性睡病1型,诊断标准,平均睡眠潜伏期
发作性睡病1型,诊断标准,REM睡眠始发
发作性睡病1型,诊断标准,夜间多导睡眠图
发作性睡病1型,诊断标准,免疫反应法
发作性睡病1型,诊断标准,脑脊液中Hcrt-1浓度
发作性睡病1型,诊断标准,白天MSLT中的SOREMP
发作性睡病2型,诊断标准,白天难以抑制的思睡
发作性睡病2型,诊断标准,睡眠发作
发作性睡病2型,诊断标准,多次小睡潜伏期试验
发作性睡病2型,诊断标准,平均睡眠潜伏期
发作性睡病2型,诊断标准,REM睡眠始发
发作性睡病2型,诊断标准,夜间多导睡眠图
发作性睡病2型,诊断标准,睡眠始发REM睡眠现象
发作性睡病2型,诊断标准,脑脊液中Hcrt-1浓度
发作性睡病2型,诊断标准,思睡症状
发作性睡病2型,诊断标准,OSA
发作性睡病2型,诊断标准,睡眠时相延迟障碍
中华神经科杂志,发表,中国成人失眠诊断与治疗指南
中华医学会神经病学分会睡眠障碍学组,编写,中国成人失眠诊断与治疗指南
王玉平,作者,中国成人失眠诊断与治疗指南
失眠,定义,失眠的定义
失眠,评估,失眠的临床评估
失眠,治疗,失眠的药物治疗
失眠,治疗,心理治疗
失眠,治疗,中国民族医药治疗
失眠,治疗,失眠的心理行为治疗
失眠,治疗,失眠的物理治疗
失眠,治疗,失眠的中医治疗
失眠,分类,失眠的分类诊断
失眠,鉴别,失眠的鉴别诊断
失眠,检查,匹兹堡睡眠质量指数
失眠,检查,阿森斯失眠量表
失眠,检查,多导睡眠监测
失眠,检查,多次睡眠潜伏期试验
失眠,检查,体动记录仪
失眠,检查,神经影像
失眠,检查,实验室检查
失眠,检查,可穿戴设备
失眠,药物,苯二氮草受体激动剂
失眠,药物,苯二氮草类药物
失眠,药物,非苯二氮草类药物
失眠,药物,新型苯二氮草受体激动剂
失眠,药物,双食欲素受体拮抗剂
失眠,药物,褪黑素
失眠,药物,褪黑素受体激动剂
失眠,药物,抗组胺H1受体药物
失眠,药物,具有镇静作用的抗抑郁药物
失眠,药物,抗精神病药
失眠,药物,麻醉类药物
失眠,治疗,失眠简短疗法
失眠,治疗,重复经颅磁刺激
失眠,治疗,经颅电刺激
失眠,治疗,经皮耳迷走神经刺激
失眠,治疗,生物反馈
失眠,治疗,光照治疗
失眠,治疗,声音治疗
失眠,治疗,中成药
失眠,治疗,植物疗法
失眠,治疗,中医非药物治疗
失眠,治疗,针刺
失眠,治疗,推拿
失眠,治疗,艾灸
失眠,治疗,耳穴压豆
失眠,治疗,指压法
失眠,治疗,穴位按压
失眠,治疗,穴位注射
失眠,治疗,穴位贴敷
失眠,治疗,耳穴压贴
失眠,治疗,药枕疗法
失眠,治疗,中药足浴
失眠,治疗,推拿
失眠,治疗,中医传统功法
失眠,治疗,八段锦
失眠,治疗,太极拳
失眠,治疗,五禽戏
失眠,治疗,六字诀
失眠,治疗,太极
失眠,治疗,气功
失眠,治疗,老年人失眠
失眠,治疗,妊娠期失眠
失眠,治疗,哺乳期失眠
失眠,治疗,围绝经期失眠
失眠,治疗,绝经期失眠
失眠,治疗,儿童失眠
失眠,治疗,青少年失眠
失眠,治疗,倒班人群失眠
失眠,治疗,伴有其他睡眠障碍的失眠
失眠,治疗,伴有躯体疾病的失眠
失眠,治疗,伴有精神障碍的失眠
